市場	チーム	ラウンド	チーム数	販売価格	仕入部数	受注数	販売部数	廃棄部数	売上高	売上原価	売上総利益	営業利益	累積販売価格	累積仕入部数	累積受注数	累積販売部数	累積廃棄部数	累積売上高	累積営業利益
8	12	3	12	130	103	117	103	0	13390	7210	6180	5680	383	324	314	286	38	36522	12342
8	12	4	12	90	169	129	129	40	11610	11830	-220	-720	473	493	443	415	78	48132	11622
8	12	5	12	110	106	114	106	0	11660	7420	4240	3740	583	599	557	521	78	59792	15362
9	1	1	12	125	120	94	94	26	11750	8400	3350	2850	125	120	94	94	26	11750	2850
9	1	2	12	125	94	113	94	0	11750	6580	5170	4670	250	214	207	188	26	23500	7520
9	1	3	12	105	200	123	123	77	12915	14000	-1085	-1585	355	414	330	311	103	36415	5935
9	1	4	12	115	200	109	109	91	12535	14000	-1465	-1965	470	614	439	420	194	48950	3970
9	1	5	12	115	200	106	106	94	12190	14000	-1810	-2310	585	814	545	526	288	61140	1660
9	2	1	12	108	180	108	108	72	11664	12600	-936	-1436	108	180	108	108	72	11664	-1436
9	2	2	12	112	110	126	110	0	12320	7700	4620	4120	220	290	234	218	72	23984	2684
9	2	3	12	98	140	132	132	8	12936	9800	3136	2636	318	430	366	350	80	36920	5320
9	2	4	12	98	125	128	125	0	12250	8750	3500	3000	416	555	494	475	80	49170	8320
9	2	5	12	93	118	131	118	0	10974	8260	2714	2214	509	673	625	593	80	60144	10534
9	3	1	12	130	200	90	90	110	11700	14000	-2300	-2800	130	200	90	90	110	11700	-2800
9	3	2	12	90	180	157	157	23	14130	12600	1530	1030	220	380	247	247	133	25830	-1770
9	3	3	12	95	180	136	136	44	12920	12600	320	-180	315	560	383	383	177	38750	-1950
9	3	4	12	90	144	139	139	5	12510	10080	2430	1930	405	704	522	522	182	51260	-20
9	3	5	12	95	132	128	128	4	12160	9240	2920	2420	500	836	650	650	186	63420	2400
9	4	1	12	130	200	90	90	110	11700	14000	-2300	-2800	130	200	90	90	110	11700	-2800
9	4	2	12	125	94	113	94	0	11750	6580	5170	4670	255	294	203	184	110	23450	1870
9	4	3	12	90	157	144	144	13	12960	10990	1970	1470	345	451	347	328	123	36410	3340
9	4	4	12	120	200	104	104	96	12480	14000	-1520	-2020	465	651	451	432	219	48890	1320
9	4	5	12	95	132	128	128	4	12160	9240	2920	2420	560	783	579	560	223	61050	3740
9	5	1	12	110	200	106	106	94	11660	14000	-2340	-2840	110	200	106	106	94	11660	-2840
9	5	2	12	130	200	108	108	92	14040	14000	40	-460	240	400	214	214	186	25700	-3300
9	5	3	12	80	240	162	162	78	12960	16800	-3840	-4340	320	640	376	376	264	38660	-7640
9	5	4	12	130	200	96	96	104	12480	14000	-1520	-2020	450	840	472	472	368	51140	-9660
9	5	5	12	100	200	122	122	78	12200	14000	-1800	-2300	550	1040	594	594	446	63340	-11960
9	6	1	12	120	105	97	97	8	11640	7350	4290	3790	120	105	97	97	8	11640	3790
9	6	2	12	118	110	119	110	0	12980	7700	5280	4780	238	215	216	207	8	24620	8570
